country_code,postal_code,place_name,latitude,longitude
CZ,100 00,Žižkov,50.0833,14.45
CZ,100 00,Praha 10-Malešice,50.0847,14.5094
CZ,100 00,Vinohrady,50.0744,14.4437
CZ,100 00,Praha 10-Žižkov,50.0833,14.45
CZ,100 00,Vršovice,50.0673,14.4603
CZ,100 00,Strašnice,50.0774,14.4658
CZ,100 00,Praha 10-Vinohrady,50.0744,14.4437
CZ,100 00,Praha 10-Vršovice,50.0673,14.4603
CZ,100 00,Malešice,50.0847,14.5094
CZ,100 00,Praha 10-Strašnice,50.0774,14.4658
CZ,101 00,Praha 10-Záběhlice,50.0624,14.4623
CZ,101 00,Praha 10-Vršovice,50.0673,14.4603
CZ,101 00,Záběhlice,50.0573,14.5038
CZ,101 00,Vršovice,50.0673,14.4603
CZ,101 00,Michle,50.048,14.4622
CZ,101 00,Vinohrady,50.0744,14.4437
CZ,101 00,Praha 10-Vinohrady,50.0744,14.4437
CZ,101 00,Praha 10-Michle,50.048,14.4622
CZ,102 00,Praha 10-Hostivař,50.0486,14.5244
CZ,102 00,Hostivař,50.0486,14.5244
CZ,102 00,Štěrboholy,50.0726,14.5552
CZ,102 00,Praha 10-Štěrboholy,50.0726,14.5552
CZ,103 00,Praha 10-Lipany,50.0119,14.6269
CZ,103 00,Lipany,49.999,14.6178
CZ,103 00,Kolovraty,50.0127,14.628
CZ,103 00,Praha 10-Kolovraty,50.0119,14.6269
CZ,103 00,Praha 10-Nedvězí,50.017,14.6527
CZ,103 00,Benice,50.0129,14.6049
CZ,103 00,Nedvězí,50.017,14.6527
CZ,103 00,Praha 10-Benice,50.0129,14.6049
CZ,104 00,Praha 10-Královice,50.0374,14.6353
CZ,104 00,Praha 10-Hájek,50.0511,14.6281
CZ,104 00,Uhříněves,50.0288,14.5995
CZ,104 00,Královice,50.0374,14.6353
CZ,104 00,Praha 10-Uhříněves,50.0288,14.5995
CZ,104 00,Pitkovice,50.0205,14.5789
CZ,104 00,Praha 10-Pitkovice,50.0205,14.5789
CZ,104 00,Křeslice,50.023,14.5635
CZ,104 00,Praha 10-Křeslice,50.0332,14.6052
CZ,104 00,Hájek,50.0511,14.6281
CZ,106 00,Praha 10-Záběhlice,50.0573,14.5038
CZ,106 00,Záběhlice,50.0573,14.5038
CZ,107 00,Dubeč,50.0625,14.5941
CZ,107 00,Praha 10-Dubeč,50.0625,14.5941
CZ,108 00,Praha 10-Malešice,50.0847,14.5094
CZ,108 00,Strašnice,50.0924,14.513
CZ,108 00,Praha 9-Hrdlořezy,50.1,14.5167
CZ,108 00,Malešice,50.0847,14.5094
CZ,108 00,Praha 10-Strašnice,50.0924,14.513
CZ,108 00,Hrdlořezy,50.1,14.5167
CZ,109 00,Dolní Měcholupy,50.0604,14.5573
CZ,109 00,Praha 10-Horní Měcholupy,50.05,14.5667
CZ,109 00,Horní Měcholupy,50.05,14.5667
