country_code,postal_code,place_name,latitude,longitude
SK,974 01,Dolná Mičiná,48.6754,19.2223
SK,974 01,Špania Dolina,48.8075,19.1341
SK,974 01,Riečka,48.7562,19.0768
SK,974 01,Nemce,48.7622,19.1853
SK,974 01,Čerín - Čačín,48.6668,19.255
SK,974 01,Banská Bystrica,48.7395,19.1535
SK,974 01,Banská Bystrica 1,48.7321,19.1784
SK,974 01,Sebedín-Bečov,48.6399,19.2406
SK,974 01,Môlča,48.712,19.2269
SK,974 01,Kynceľová,48.7499,19.1857
SK,974 01,Horná Mičiná,48.6989,19.2144
SK,974 04,Banská Bystrica,48.7395,19.1535
SK,974 05,Malachov,48.7103,19.0897
SK,974 05,Horné Pršany,48.6996,19.0833
SK,974 09,Banská Bystrica,48.7395,19.1535
SK,974 11,Banská Bystrica,48.7395,19.1535
SK,976 02,Motyčky,48.8606,19.1699
SK,976 02,Turecká,48.8494,19.0845
SK,976 02,Staré Hory,48.8391,19.1148
SK,976 03,Harmanec,48.7958,19.0734
SK,976 03,Dolný Harmanec,48.8097,19.0519
SK,976 11,Priechod,48.7831,19.2354
SK,976 11,Baláže,48.814,19.1957
SK,976 11,Selce,48.7626,19.203
SK,976 13,Moštenica,48.8084,19.2905
SK,976 13,Podkonice,48.7999,19.2575
SK,976 13,Slovenská Ľupča,48.7653,19.2755
SK,976 31,Vlkanová,48.6713,19.1461
SK,976 31,Hronsek,48.6525,19.1568
SK,976 32,Badín,48.6638,19.1232
SK,976 33,Poniky,48.7124,19.2927
SK,976 33,Dúbravica,48.6796,19.2729
SK,976 33,Oravce,48.6846,19.2627
SK,976 34,Tajov,48.7457,19.0703
SK,976 34,Kordíky,48.7718,19.022
SK,976 34,Králiky,48.7348,19.0371
SK,976 37,Hrochoť,48.6557,19.3128
SK,976 39,Donovaly,48.8801,19.2224
SK,976 55,Strelníky,48.7229,19.3922
SK,976 55,Ľubietová,48.7453,19.361
SK,976 55,Povrazník,48.7161,19.3644
SK,976 61,Hiadeľ,48.8105,19.3156
SK,976 61,Lučatín,48.7828,19.32
SK,976 62,Brusno,48.7924,19.3822
SK,976 62,Pohronský Bukovec,48.8048,19.3919
SK,976 81,Štiavnička,48.7609,19.231
SK,976 96,Medzibrod,48.7943,19.3537
SK,966 15,Kozelník,48.5119,18.9974
SK,966 15,Banská Belá,48.4747,18.9337
SK,969 01,Banská Štiavnica 1,48.4064,18.8659
SK,969 01,Banská Štiavnica,48.4486,18.91
SK,969 01,Banský Studenec,48.4489,18.9669
SK,969 01,Rychňava,48.4064,18.8659
SK,969 01,Kysihýbel,48.4064,18.8659
SK,969 01,Baďan,48.3301,18.8471
SK,969 01,Beluj,48.3501,18.8962
SK,969 01,Dekýš,48.4,18.7667
SK,969 01,Ilija,48.4192,18.899
SK,969 01,Vysoká,48.412,18.7895
SK,969 01,Počúvadlo,48.366,18.8328
SK,969 72,Svätý Anton,48.4192,18.9401
SK,969 73,Prenčov,48.3582,18.9247
SK,969 81,Štiavnické Bane,48.4394,18.8555
SK,969 82,Močiar,48.5419,18.9464
SK,969 82,Podhorie,48.4986,18.9191
SK,976 44,Mýto pod Ďumbierom,48.8533,19.6327
SK,976 45,Hronec,48.795,19.5824
SK,976 45,Osrblie,48.7561,19.5247
SK,976 46,Valaská,48.8076,19.571
SK,976 52,Medveďovo,48.7472,19.6513
SK,976 52,Čierny Balog,48.7472,19.6513
SK,976 53,Sihla,48.6572,19.6466
SK,976 53,Lom nad Rimavicou,48.6415,19.6495
SK,976 53,Biele Vody,48.8137,19.7379
SK,976 53,Drábsko,48.6493,19.6554
SK,976 53,Vrchslatina,48.6427,19.6457
SK,976 56,Pohronská Polhora,48.7572,19.7932
SK,976 57,Michalová,48.7679,19.7809
SK,976 63,Predajná,48.8169,19.4609
SK,976 64,Braväcovo,48.8391,19.7448
SK,976 64,Bacúch,48.8591,19.8058
SK,976 64,Beňuš,48.8288,19.7616
SK,976 66,Polomka,48.8523,19.8525
SK,976 67,Závadka nad Hronom,48.8505,19.9115
SK,976 68,Heľpa,48.861,19.9692
SK,976 69,Vaľkovňa,48.8346,20.0684
SK,976 69,Pohorelá,48.8618,20.0162
SK,976 71,Šumiac,48.8401,20.1297
SK,976 73,Telgárt,48.8516,20.1885
SK,976 75,Jasenie,48.8388,19.4597
SK,976 81,Horná Lehota,48.8333,19.55
SK,976 97,Nemecká,48.8125,19.4148
SK,976 97,Ráztoka,48.8203,19.4014
SK,976 98,Podbrezová,48.8093,19.526
SK,976 98,Dolná Lehota,48.8335,19.5052
SK,977 01,Jarabá,48.8892,19.689
SK,977 01,Bystrá,48.85,19.6
SK,977 03,Brezno,48.8043,19.6363
SK,962 02,Vígľaš,48.5632,19.3029
SK,962 04,Kriváň,48.5282,19.4483
SK,962 04,Korytárky,48.5508,19.4551
SK,962 05,Detvianska Huta,48.5695,19.5916
SK,962 05,Hriňová,48.5779,19.5257
SK,962 05,Krivec I,48.5737,19.5587
SK,962 05,Krivec II,48.5737,19.5587
SK,962 12,Stožok,48.5292,19.358
SK,962 12,Dúbravy,48.5868,19.3687
SK,962 12,Detva,48.5608,19.4195
SK,962 12,Detva-sídlisko,48.5589,19.3821
SK,962 25,Vígľašská Huta-Kalinka,48.4898,19.2726
SK,962 25,Stará Huta,48.4749,19.3485
SK,962 25,Slatinské Lazy,48.499,19.3084
SK,962 25,Klokoč,48.5021,19.339
SK,962 75,Horný Tisovník,48.4089,19.3659
SK,985 45,Látky,48.5797,19.6356
SK,985 51,Podkriváň,48.5106,19.459
SK,962 41,Uňatín,48.2962,19.065
SK,962 41,Kozí Vrbovok,48.3013,19.1191
SK,962 41,Jalšovík,48.314,19.1035
